Date,SO2 (ppb),O3 (ppb),PM 2.5  (μg/m 3 ),NO2 (ppb)
2017/01/07,4.1,17.7,52,26.9
2017/01/06,3.4,21.3,50,23.74
2017/01/05,3.3,16.2,55,27.4
2017/01/04,2.5,18.7,34,26.35
2017/01/03,2.5,20.5,37,25.34
2017/01/02,2,22.2,42,19.99
2017/01/01,2.3,22.2,39,20.95
2016/12/31,2.5,21.3,31,25.02
2016/12/30,2.9,18.2,23,28.29
2016/12/29,1.3,26.5,10,14.11
2016/12/28,1.7,16.6,0.0,20.65
2016/12/27,2.3,16.6,17,16.9
2016/12/26,2.9,20.9,38,21.77
2016/12/25,2.2,28.1,43,24.88
2016/12/24,3.4,22.8,43,32.2
2016/12/23,2.5,26.4,28,24.04
2016/12/22,1.9,11.2,24,19.9
2016/12/21,3.7,21,46,25.16
2016/12/20,5.1,28.6,41,37.83
2016/12/19,2.8,25.8,34,29.88
2016/12/18,3.5,27.2,35,24.97
2016/12/17,2.6,24,31,30.52
2016/12/16,1.6,26.4,17,17.26
2016/12/15,2.2,29,13,13.3
2016/12/14,2.8,23.4,14,17.39
2016/12/13,2.8,17.2,24,28.92
2016/12/12,2.5,18.6,35,24.63
2016/12/11,3,23.9,32,23.45
2016/12/10,2.5,25.3,29,25.82
2016/12/09,3.6,16.4,15,23.2
2016/12/08,3.3,22.1,15,22.37
2016/12/07,0.0,0.0,26,0.0
2016/12/06,2.5,30.1,32,17.21
2016/12/05,3.6,21.1,33,25.41
2016/12/02,2.1,27.8,13,18.61
2016/11/29,3.8,15.2,35,31.94
2016/11/27,1.1,19.6,4,15.75
2016/11/26,1.8,23,21,16.35
2016/11/25,3.1,21.5,15,24.52
2016/11/24,1.9,16.1,4,17.99
2016/11/23,2.5,14,4,20.46
2016/11/22,2.7,5.6,9,21.57
2016/11/21,2.4,9.6,13,19.1
2016/11/20,2.1,25.9,27,20.32
2016/11/19,3.7,34.8,40,23.74
2016/11/18,4.4,26.7,55,28.33
2016/11/17,3.8,28.7,41,27.64
2016/11/16,1.7,30.2,36,24.87
2016/11/15,2.6,27.1,49,26.19
