Date,SO2 (ppb),O3 (ppb),PM 2.5  (μg/m 3 ),NO2 (ppb)
2016/01/30,0.0,0.0,11,0.0
2016/01/30,0.0,0.0,0.0,0.0
2016/01/29,2.3,6.5,0.0,28.9
2016/01/29,0.0,0.0,11,0.0
2016/01/28,3,5,0.0,31.22
2016/01/28,0.0,0.0,29,0.0
2016/01/27,0.0,0.0,33,0.0
2016/01/27,4.1,8.5,0.0,37.71
2016/01/26,3,19,0.0,30.37
2016/01/26,0.0,0.0,25,0.0
2016/01/25,2.3,30,0.0,14.19
2016/01/25,0.0,0.0,13,0.0
2016/01/24,0.0,0.0,14,0.0
2016/01/24,2.2,35.7,0.0,9.37
2016/01/23,0.0,0.0,5,0.0
2016/01/23,3.1,27.9,0.0,13.72
2016/01/22,4.9,14.1,0.0,23.36
2016/01/22,0.0,0.0,11,0.0
2016/01/21,1.8,12,0.0,26.82
2016/01/21,0.0,0.0,16,0.0
2016/01/20,2.9,17.1,0.0,26.45
2016/01/20,0.0,0.0,17,0.0
2016/01/19,0.0,0.0,34,0.0
2016/01/18,0.0,0.0,21,0.0
2016/01/18,1.9,27.2,0.0,19.41
2016/01/17,1.3,13.6,0.0,24.1
2016/01/17,0.0,0.0,17,0.0
2016/01/16,2.8,17,0.0,25.22
2016/01/16,0.0,0.0,19,0.0
2016/01/15,2.9,4,0.0,32.81
2016/01/15,0.0,0.0,33,0.0
2016/01/14,1,21.9,0.0,20.41
2016/01/14,0.0,0.0,21,0.0
2016/01/13,0.0,0.0,10,0.0
2016/01/13,0.5,20.3,0.0,18.87
2016/01/12,0.0,0.0,0.0,0.0
2016/01/11,2,13.8,0.0,24.54
2016/01/11,0.0,0.0,16,0.0
2016/01/10,2.4,18.5,0.0,22.02
2016/01/10,0.0,0.0,35,0.0
2016/01/09,0.0,0.0,25,0.0
2016/01/09,2.3,27.5,0.0,20.1
2016/01/08,1.9,21,0.0,21.49
2016/01/08,0.0,0.0,28,0.0
2016/01/07,0.0,0.0,20,0.0
2016/01/07,1.6,26.2,0.0,18.57
2016/01/06,0.0,0.0,19,0.0
2016/01/06,2.5,16.6,0.0,20.75
2016/01/05,0.0,0.0,43,0.0
2016/01/05,4.7,9.8,0.0,27.24
2016/01/04,0.0,0.0,29,0.0
2016/01/04,2.6,10.4,0.0,33.36
2016/01/03,3.8,7.9,0.0,24.41
2016/01/03,0.0,0.0,23,0.0
2016/01/02,0.0,0.0,42,0.0
2016/01/02,2.2,15.7,0.0,22.99
2016/01/01,0.0,0.0,44,0.0
2016/01/01,2.5,24,0.0,24.83
2015/12/31,0.0,0.0,19,0.0
2015/12/31,1.3,27.2,0.0,19.81
2015/12/30,0.0,0.0,22,0.0
2015/12/30,3.6,11.9,0.0,26.33
2015/12/29,3.3,21.5,0.0,26.59
2015/12/29,0.0,0.0,23,0.0
2015/12/28,0.0,0.0,14,0.0
2015/12/28,2.1,34.1,0.0,14.61
2015/12/27,0.0,0.0,27,0.0
2015/12/27,2.3,21.6,0.0,19.21
2015/12/26,0.0,0.0,37,0.0
2015/12/26,2,12.8,0.0,27.69
2015/12/25,2,12.3,0.0,23.31
2015/12/25,0.0,0.0,18,0.0
2015/12/24,5,6.8,0.0,30.2
2015/12/24,0.0,0.0,42,0.0
2015/12/23,4.6,6.3,0.0,27.44
2015/12/23,0.0,0.0,34,0.0
2015/12/22,4.2,6.5,0.0,32.08
2015/12/22,0.0,0.0,52,0.0
2015/12/21,3.8,3.5,0.0,28.8
2015/12/21,0.0,0.0,44,0.0
2015/12/20,4,6.7,0.0,32.36
2015/12/20,0.0,0.0,51,0.0
2015/12/19,3.2,7.2,0.0,29.11
2015/12/19,0.0,0.0,36,0.0
2015/12/18,2.5,8.5,0.0,20.67
2015/12/18,0.0,0.0,20,0.0
2015/12/17,0.0,0.0,27,0.0
2015/12/17,3.7,23.1,0.0,14.51
2015/12/16,5.5,36.7,0.0,14.79
2015/12/16,0.0,0.0,63,0.0
2015/12/15,2.3,21.2,0.0,18.84
2015/12/15,0.0,0.0,28,0.0
2015/12/14,3.3,20.9,0.0,23.17
2015/12/14,0.0,0.0,23,0.0
2015/12/13,0.0,0.0,25,0.0
2015/12/13,3.9,21.7,0.0,24.67
2015/12/12,0.0,0.0,21,0.0
2015/12/12,2.3,20.2,0.0,25.77
2015/12/11,0.0,0.0,18,0.0
2015/12/11,3.2,18.6,0.0,20.17
2015/12/10,0.0,0.0,8,0.0
2015/12/10,2.1,21,0.0,19.85
2015/12/09,0.0,0.0,31,0.0
2015/12/09,4.4,16.4,0.0,32.15
2015/12/08,0.0,0.0,14,0.0
2015/12/08,2.5,20.1,0.0,24.61
2015/12/07,0.0,0.0,10,0.0
2015/12/07,2,18.5,0.0,18.54
2015/12/06,0.0,0.0,6,0.0
2015/12/06,1.8,22.1,0.0,13.4
2015/12/05,0.0,0.0,28,0.0
2015/12/05,3.3,28.6,0.0,25.72
2015/12/04,0.0,0.0,26,0.0
2015/12/04,3,16,0.0,26.61
2015/12/03,2.7,21.5,0.0,21.47
2015/12/03,0.0,0.0,25,0.0
2015/12/02,4.1,30.2,0.0,26.27
2015/12/02,0.0,0.0,33,0.0
2015/12/01,3.5,24.1,0.0,26.6
2015/11/30,2.5,20.1,0.0,22.71
2015/11/29,1.7,29.2,0.0,21.67
2015/11/28,3,34.2,0.0,32.47
2015/11/27,2.4,28.5,0.0,24.07
2015/11/26,0.0,0.0,10,0.0
2015/11/26,2.3,30.4,0.0,12.59
2015/11/25,0.0,0.0,12,0.0
2015/11/25,2.5,32.3,0.0,14.61
2015/11/24,0.0,0.0,14,0.0
2015/11/24,1.5,23,0.0,18.02
2015/11/23,3.3,22.4,0.0,19.64
2015/11/23,0.0,0.0,21,0.0
2015/11/22,0.0,0.0,21,0.0
2015/11/22,0.0,25.9,0.0,18.21
2015/11/21,0.0,0.0,45,0.0
2015/11/21,2.3,15.5,0.0,22.62
2015/11/20,3.5,27.4,0.0,32.31
2015/11/20,0.0,0.0,47,0.0
2015/11/19,2.3,24.2,0.0,23.42
2015/11/19,0.0,0.0,31,0.0
2015/11/18,3,22.4,0.0,18.82
2015/11/18,0.0,0.0,33,0.0
2015/11/17,4.2,30.4,0.0,26.23
2015/11/17,0.0,0.0,41,0.0
2015/11/16,0.0,0.0,37,0.0
2015/11/16,3.8,22.8,0.0,24.8
2015/11/15,0.0,0.0,33,0.0
2015/11/15,3,23.2,0.0,22.95
2015/11/14,0.0,0.0,40,0.0
2015/11/14,2.4,21.6,0.0,24.41
2015/11/13,0.0,0.0,80,0.0
2015/11/13,4.5,26.7,0.0,26.85
2015/11/12,0.0,0.0,51,0.0
2015/11/12,4.2,34.7,0.0,30.43
2015/11/11,3.3,21.2,0.0,28.13
2015/11/11,0.0,0.0,30,0.0
2015/11/10,0.0,0.0,14,0.0
2015/11/10,2.3,27.3,0.0,17.68
2015/11/09,3.1,23.1,0.0,21.62
2015/11/09,0.0,0.0,56,0.0
2015/11/08,0.0,0.0,66,0.0
2015/11/08,4,30,0.0,20.79
2015/11/07,2.8,32.7,0.0,19.3
2015/11/07,0.0,0.0,60,0.0
2015/11/06,0.0,0.0,61,0.0
2015/11/06,5.2,32.3,0.0,21.62
2015/11/05,5,31.5,0.0,23.51
2015/11/05,0.0,0.0,55,0.0
2015/11/04,4.7,39.4,0.0,23.38
2015/11/04,0.0,0.0,53,0.0
2015/11/03,2.9,24.2,0.0,23.22
2015/11/02,1.5,22.3,0.0,16.4
2015/11/01,4.1,17.8,0.0,21.01
2015/10/31,3.5,28.9,0.0,17.12
2015/10/30,2.7,31.5,0.0,15.75
2015/10/30,0.0,0.0,33,0.0
2015/10/29,0.0,0.0,64,0.0
2015/10/29,3.7,34.6,0.0,19.16
2015/10/28,0.0,0.0,67,0.0
2015/10/28,4.8,41.8,0.0,23.53
2015/10/27,0.0,0.0,54,0.0
2015/10/27,4.8,38.4,0.0,18.39
2015/10/26,0.0,0.0,53,0.0
2015/10/26,5.6,29.9,0.0,27.23
2015/10/25,0.0,0.0,31,0.0
2015/10/25,2,28.4,0.0,21.6
2015/10/24,0.0,0.0,25,0.0
2015/10/24,2.9,26,0.0,21.8
2015/10/23,0.0,0.0,20,0.0
2015/10/23,1.8,32.4,0.0,16.19
2015/10/22,0.0,0.0,24,0.0
2015/10/22,2.6,25.2,0.0,21.91
2015/10/21,3.9,21.2,0.0,28.03
2015/10/21,0.0,0.0,63,0.0
2015/10/20,0.0,0.0,64,0.0
2015/10/20,5.2,34.8,0.0,30.69
2015/10/19,0.0,0.0,31,0.0
2015/10/19,2.9,29.4,0.0,29.68
2015/10/18,0.0,0.0,26,0.0
2015/10/18,2.5,32.8,0.0,18.71
2015/10/17,3.1,29.4,0.0,23.27
2015/10/17,0.0,0.0,28,0.0
2015/10/16,3.3,27.3,0.0,24.44
2015/10/16,0.0,0.0,30,0.0
2015/10/15,1.9,36.4,0.0,19.66
2015/10/15,0.0,0.0,21,0.0
2015/10/14,0.0,0.0,31,0.0
2015/10/14,3.1,36.7,0.0,25.49
2015/10/13,2.5,45.4,0.0,22.83
2015/10/13,0.0,0.0,43,0.0
2015/10/12,0.0,0.0,26,0.0
2015/10/12,2.5,31.3,0.0,24.18
2015/10/11,0.0,0.0,26,0.0
2015/10/11,2.1,35.3,0.0,16.72
2015/10/10,1.5,29.2,0.0,16.37
2015/10/10,0.0,0.0,16,0.0
2015/10/09,1.8,27.4,0.0,13.35
2015/10/09,0.0,0.0,10,0.0
2015/10/08,0.0,0.0,35,0.0
2015/10/08,2.8,29.9,0.0,14.44
2015/10/07,4.7,38.6,0.0,18.29
2015/10/07,0.0,0.0,41,0.0
2015/10/06,4.4,42.3,0.0,19.26
2015/10/06,0.0,0.0,56,0.0
2015/10/05,0.0,0.0,44,0.0
2015/10/05,3.8,33.9,0.0,16.53
2015/10/04,5.6,40.2,0.0,16.93
2015/10/04,0.0,0.0,40,0.0
2015/10/03,3.2,45.6,0.0,18.17
2015/10/03,0.0,0.0,44,0.0
2015/10/02,0.0,0.0,30,0.0
2015/10/02,1.9,36.8,0.0,20.62
2015/10/01,2.4,23.5,0.0,15.56
2015/10/01,0.0,0.0,29,0.0
2015/09/30,0.0,0.0,21,0.0
2015/09/30,1.8,32.5,0.0,18.33
2015/09/29,0.0,0.0,13,0.0
2015/09/29,1.6,27,0.0,12.45
2015/09/28,0.0,0.0,9,0.0
2015/09/28,1.1,26.6,0.0,8.34
2015/09/27,0.0,0.0,14,0.0
2015/09/27,1.8,51,0.0,8.88
2015/09/26,0.0,0.0,24,0.0
2015/09/26,3.1,37.9,0.0,18.86
2015/09/25,3.2,41.3,0.0,19.59
2015/09/25,0.0,0.0,31,0.0
2015/09/24,0.0,0.0,29,0.0
2015/09/24,2.5,33,0.0,16.96
2015/09/23,3.4,35.6,0.0,17.09
2015/09/23,0.0,0.0,37,0.0
2015/09/22,4.7,39.1,0.0,19.29
2015/09/22,0.0,0.0,43,0.0
2015/09/21,0.0,0.0,45,0.0
2015/09/21,5,44,0.0,20.3
2015/09/20,0.0,0.0,56,0.0
2015/09/20,4.1,59.5,0.0,16.87
2015/09/19,2.6,53.8,0.0,21.12
2015/09/19,0.0,0.0,44,0.0
2015/09/18,2.6,44.8,0.0,21.65
2015/09/18,0.0,0.0,32,0.0
2015/09/17,0.0,0.0,29,0.0
2015/09/17,1.6,48.6,0.0,15.84
2015/09/16,0.0,0.0,26,0.0
2015/09/16,2.1,42,0.0,17.13
2015/09/15,2.8,46.9,0.0,16.81
2015/09/15,0.0,0.0,38,0.0
2015/09/14,4.9,47.1,0.0,21.96
2015/09/14,0.0,0.0,41,0.0
2015/09/13,2.6,44.2,0.0,19.85
2015/09/13,0.0,0.0,38,0.0
2015/09/12,3.3,47.6,0.0,18.55
2015/09/12,0.0,0.0,36,0.0
2015/09/11,3.7,42.3,0.0,22.72
2015/09/11,0.0,0.0,31,0.0
2015/09/10,4,42.1,0.0,20.6
2015/09/10,0.0,0.0,23,0.0
2015/09/09,0.0,0.0,20,0.0
2015/09/09,2.9,51,0.0,15.22
2015/09/08,0.0,0.0,14,0.0
2015/09/08,2.5,38.2,0.0,16.02
2015/09/07,2.4,18.3,0.0,14.73
2015/09/07,0.0,0.0,10,0.0
2015/09/06,1.1,24,0.0,7.66
2015/09/06,0.0,0.0,17,0.0
2015/09/05,1.8,25.5,0.0,12.93
2015/09/05,0.0,0.0,22,0.0
2015/09/04,0.0,0.0,17,0.0
2015/09/04,3.6,17.5,0.0,15.52
2015/09/03,4,21,0.0,15.68
2015/09/03,0.0,0.0,16,0.0
2015/09/02,2.9,21.4,0.0,13
2015/09/02,0.0,0.0,9,0.0
2015/09/01,1.6,17.6,0.0,14.29
2015/09/01,0.0,0.0,8,0.0
2015/08/31,2.1,7.2,0.0,16.87
2015/08/31,0.0,0.0,8,0.0
2015/08/30,0.0,0.0,3,0.0
2015/08/30,1.5,11.9,0.0,10.71
2015/08/29,0.0,0.0,4,0.0
2015/08/29,2,13.5,0.0,9.5
2015/08/28,0.0,0.0,10,0.0
2015/08/28,2.2,14,0.0,13.12
2015/08/27,0.0,0.0,6,0.0
2015/08/27,1.6,20.3,0.0,14.76
2015/08/26,1.7,33.1,0.0,14.17
2015/08/26,0.0,0.0,12,0.0
2015/08/25,3.1,39,0.0,10.46
2015/08/25,0.0,0.0,20,0.0
2015/08/24,0.0,0.0,14,0.0
2015/08/24,2.2,22.5,0.0,12.5
2015/08/23,2.3,24.2,0.0,8.81
2015/08/23,0.0,0.0,22,0.0
2015/08/22,3.4,59.3,0.0,12.12
2015/08/22,0.0,0.0,49,0.0
2015/08/21,3.7,59,0.0,15.31
2015/08/21,0.0,0.0,51,0.0
2015/08/20,2.6,32.3,0.0,14.39
2015/08/20,0.0,0.0,34,0.0
2015/08/19,0.0,0.0,18,0.0
2015/08/19,2.1,26.8,0.0,13.11
2015/08/18,3.2,16.8,0.0,15.55
2015/08/18,0.0,0.0,18,0.0
2015/08/17,4,1.4,0.0,13.8
2015/08/17,0.0,0.0,13,0.0
2015/08/16,1.8,5,0.0,9.67
2015/08/16,0.0,0.0,7,0.0
2015/08/15,3.4,10.9,0.0,14.2
2015/08/15,0.0,0.0,9,0.0
2015/08/14,2.6,9.2,0.0,10
2015/08/14,0.0,0.0,7,0.0
2015/08/13,0.0,0.0,11,0.0
2015/08/13,3,19.8,0.0,8.15
2015/08/12,0.0,0.0,10,0.0
2015/08/12,1.8,19.5,0.0,7.66
2015/08/11,0.0,0.0,16,0.0
2015/08/11,3,17.7,0.0,10.64
2015/08/10,0.0,0.0,14,0.0
2015/08/10,1.7,13.5,0.0,10.78
2015/08/09,0.0,0.0,14,0.0
2015/08/09,3,19.1,0.0,12.57
2015/08/08,0.0,0.0,3,0.0
2015/08/08,1.5,20.5,0.0,3.39
2015/08/07,0.0,0.0,14,0.0
2015/08/07,1.6,20.8,0.0,9.69
2015/08/06,2.3,32.9,0.0,12.24
2015/08/06,0.0,0.0,32,0.0
2015/08/05,0.0,0.0,27,0.0
2015/08/05,3.6,0.0,0.0,14.01
2015/08/04,0.0,0.0,20,0.0
2015/08/04,5.4,0.0,0.0,18.25
2015/08/03,5.8,22,0.0,15.24
2015/08/03,0.0,0.0,25,0.0
2015/08/02,0.0,0.0,17,0.0
2015/08/02,4.5,22.2,0.0,13.25
2015/08/01,3.7,19.6,0.0,12.05
2015/08/01,0.0,0.0,16,0.0
2015/07/31,0.0,0.0,19,0.0
2015/07/31,3.3,22.9,0.0,9.81
2015/07/30,0.0,0.0,22,0.0
2015/07/30,3.3,22.6,0.0,12.36
2015/07/29,0.0,0.0,13,0.0
2015/07/29,2.5,22.1,0.0,10.2
2015/07/28,2.7,17.9,0.0,11.11
2015/07/28,0.0,0.0,9,0.0
2015/07/27,0.0,0.0,12,0.0
2015/07/27,3.1,20,0.0,9.18
2015/07/26,1.6,25.1,0.0,5.55
2015/07/26,0.0,0.0,14,0.0
2015/07/25,0.0,0.0,16,0.0
2015/07/25,2,24.7,0.0,7.57
2015/07/24,2.5,21,0.0,8.24
2015/07/24,0.0,0.0,12,0.0
2015/07/23,0.0,0.0,13,0.0
2015/07/23,3,23.8,0.0,9.91
2015/07/22,2.8,16.1,0.0,10.14
2015/07/22,0.0,0.0,12,0.0
2015/07/21,0.0,0.0,9,0.0
2015/07/21,2.1,17.1,0.0,7.69
2015/07/20,2.3,15.3,0.0,7.6
2015/07/20,0.0,0.0,8,0.0
2015/07/19,2.5,21.8,0.0,9.89
2015/07/19,0.0,0.0,12,0.0
2015/07/18,4,45,0.0,13.84
2015/07/18,0.0,0.0,49,0.0
2015/07/17,0.0,0.0,49,0.0
2015/07/17,6.4,32.7,0.0,17.21
2015/07/16,3.7,41.9,0.0,12.97
2015/07/16,0.0,0.0,35,0.0
2015/07/15,0.0,0.0,37,0.0
2015/07/15,3.1,40.3,0.0,12.47
2015/07/14,3.6,30.3,0.0,12.94
2015/07/14,0.0,0.0,31,0.0
2015/07/13,0.0,0.0,24,0.0
2015/07/13,3.9,30.1,0.0,11.12
2015/07/12,0.0,0.0,15,0.0
2015/07/12,1.5,29.3,0.0,6.63
2015/07/11,1.7,31,0.0,6.82
2015/07/11,0.0,0.0,15,0.0
2015/07/10,0.0,0.0,7,0.0
2015/07/10,1.3,18.7,0.0,8.21
2015/07/09,0.0,0.0,17,0.0
2015/07/09,2.6,27.8,0.0,11.86
2015/07/08,3.1,27.6,0.0,12.72
2015/07/08,0.0,0.0,18,0.0
2015/07/07,1.5,32.7,0.0,11.57
2015/07/07,0.0,0.0,22,0.0
2015/07/06,4,33.2,0.0,13.46
2015/07/06,0.0,0.0,24,0.0
2015/07/05,2,35.9,0.0,8.78
2015/07/05,0.0,0.0,17,0.0
2015/07/04,1.4,30.8,0.0,10.94
2015/07/04,0.0,0.0,18,0.0
2015/07/03,2.8,27,0.0,10.8
2015/07/03,0.0,0.0,26,0.0
2015/07/02,0.0,0.0,21,0.0
2015/07/02,2.6,27.6,0.0,8.43
2015/07/01,0.0,0.0,18,0.0
2015/07/01,2.5,25.1,0.0,8.52
2015/06/30,0.0,0.0,25,0.0
2015/06/30,3,20.5,0.0,9.18
2015/06/29,0.0,0.0,19,0.0
2015/06/29,3.2,17.8,0.0,10.04
2015/06/28,2.4,22.8,0.0,7.18
2015/06/28,0.0,0.0,28,0.0
2015/06/27,0.0,0.0,20,0.0
2015/06/27,2.4,21.2,0.0,7.62
2015/06/26,0.0,0.0,21,0.0
2015/06/26,3.1,23.2,0.0,8.62
2015/06/25,0.0,0.0,17,0.0
2015/06/25,2,21.9,0.0,8.32
2015/06/24,2.4,21,0.0,9.64
2015/06/24,0.0,0.0,13,0.0
2015/06/23,0.0,0.0,14,0.0
2015/06/23,2.9,18.9,0.0,14.31
2015/06/22,0.0,0.0,18,0.0
2015/06/22,4.2,24.7,0.0,14.67
2015/06/21,2.9,28,0.0,10.83
2015/06/21,0.0,0.0,31,0.0
2015/06/20,0.0,0.0,19,0.0
2015/06/20,2.8,26.7,0.0,11.65
2015/06/19,2.2,23.2,0.0,9.41
2015/06/19,0.0,0.0,20,0.0
2015/06/18,3.2,19.3,0.0,10.87
2015/06/18,0.0,0.0,26,0.0
2015/06/17,3.3,20.8,0.0,8.92
2015/06/17,0.0,0.0,20,0.0
2015/06/16,0.0,0.0,16,0.0
2015/06/16,2.5,18.1,0.0,9.29
2015/06/15,3.1,15.6,0.0,9.01
2015/06/15,0.0,0.0,9,0.0
2015/06/14,2.2,18.5,0.0,7.58
2015/06/14,0.0,0.0,9,0.0
2015/06/13,3,20.4,0.0,8.87
2015/06/13,0.0,0.0,18,0.0
2015/06/12,3,19.4,0.0,9.96
2015/06/12,0.0,0.0,14,0.0
2015/06/11,0.0,0.0,13,0.0
2015/06/11,2.5,18.9,0.0,8.94
2015/06/10,2.5,23.8,0.0,8.92
2015/06/10,0.0,0.0,11,0.0
2015/06/09,2.2,20.9,0.0,9.92
2015/06/09,0.0,0.0,16,0.0
2015/06/08,2.8,20.4,0.0,10.94
2015/06/08,0.0,0.0,13,0.0
2015/06/07,0.0,0.0,12,0.0
2015/06/07,1.7,18.8,0.0,9.04
2015/06/06,0.0,0.0,10,0.0
2015/06/06,2.6,12,0.0,12.22
2015/06/05,0.0,0.0,16,0.0
2015/06/05,2.2,17.2,0.0,10.39
2015/06/04,2.8,20,0.0,10.22
2015/06/04,0.0,0.0,11,0.0
2015/06/03,0.0,0.0,11,0.0
2015/06/03,2.8,17.8,0.0,9.9
2015/06/02,1.7,19.9,0.0,10.67
2015/06/02,0.0,0.0,11,0.0
2015/06/01,0.0,0.0,13,0.0
2015/06/01,4.4,16.7,0.0,14.12
2015/05/31,1.7,21.6,0.0,12.14
2015/05/31,0.0,0.0,8,0.0
2015/05/30,0.0,0.0,13,0.0
2015/05/30,2.1,22.8,0.0,7.38
2015/05/29,2.2,19.9,0.0,8.36
2015/05/29,0.0,0.0,13,0.0
2015/05/28,2.8,12.6,0.0,12.37
2015/05/28,0.0,0.0,11,0.0
2015/05/27,4.2,11.9,0.0,16.12
2015/05/27,0.0,0.0,6,0.0
2015/05/26,0.0,0.0,23,0.0
2015/05/26,1.7,14.4,0.0,20.06
2015/05/25,0.0,0.0,16,0.0
2015/05/25,4.5,17.6,0.0,23.75
2015/05/24,1.5,20.9,0.0,12.06
2015/05/24,0.0,0.0,4,0.0
2015/05/23,1.5,22.3,0.0,12
2015/05/23,0.0,0.0,7,0.0
2015/05/22,2,21.8,0.0,21.98
2015/05/22,0.0,0.0,14,0.0
2015/05/21,4.5,9.8,0.0,25.84
2015/05/21,0.0,0.0,16,0.0
2015/05/20,3.6,8.7,0.0,17.81
2015/05/20,0.0,0.0,15,0.0
2015/05/19,2.4,19.1,0.0,11.48
2015/05/19,0.0,0.0,13,0.0
2015/05/18,0.0,0.0,20,0.0
2015/05/18,3,0.0,0.0,11.67
2015/05/17,0.0,0.0,18,0.0
2015/05/17,2.1,0.0,0.0,8.63
2015/05/16,2.4,0.0,0.0,10.8
2015/05/16,0.0,0.0,14,0.0
2015/05/15,0.0,0.0,18,0.0
2015/05/15,2.1,23,0.0,10.48
2015/05/14,0.0,0.0,19,0.0
2015/05/14,3.2,20,0.0,12.48
2015/05/13,0.0,0.0,46,0.0
2015/05/13,3.8,48.5,0.0,20.87
2015/05/12,0.0,0.0,26,0.0
2015/05/12,3.2,33.7,0.0,19.89
2015/05/11,4.2,22.1,0.0,21.57
2015/05/11,0.0,0.0,32,0.0
2015/05/10,2.5,29.2,0.0,14.53
2015/05/10,0.0,0.0,23,0.0
2015/05/09,2.7,19.5,0.0,11.5
2015/05/09,0.0,0.0,17,0.0
2015/05/08,0.0,0.0,45,0.0
2015/05/08,4,28.4,0.0,15.95
2015/05/07,3.5,28.8,0.0,16.32
2015/05/07,0.0,0.0,32,0.0
2015/05/06,0.0,0.0,39,0.0
2015/05/06,3.6,33.1,0.0,19.05
2015/05/05,0.0,0.0,32,0.0
2015/05/05,3.2,15.8,0.0,28.27
2015/05/04,4.2,20.5,0.0,16.45
2015/05/04,0.0,0.0,18,0.0
2015/05/03,3.2,19.7,0.0,8.52
2015/05/03,0.0,0.0,25,0.0
2015/05/02,2.6,31.4,0.0,10.23
2015/05/02,0.0,0.0,28,0.0
2015/05/01,5.6,31,0.0,20.73
2015/05/01,0.0,0.0,50,0.0
2015/04/30,0.0,0.0,42,0.0
2015/04/30,4.2,37.8,0.0,21.5
2015/04/29,0.0,0.0,27,0.0
2015/04/29,3.4,24.6,0.0,13.47
2015/04/28,4.7,27.8,0.0,14.82
2015/04/28,0.0,0.0,28,0.0
2015/04/27,4.1,34.1,0.0,17.54
2015/04/27,0.0,0.0,36,0.0
2015/04/26,0.0,0.0,28,0.0
2015/04/26,2.6,41.9,0.0,18.19
2015/04/25,2.5,43.8,0.0,17.7
2015/04/25,0.0,0.0,27,0.0
2015/04/24,1.8,48.2,0.0,15.52
2015/04/24,0.0,0.0,29,0.0
2015/04/23,3.6,42.1,0.0,21.22
2015/04/23,0.0,0.0,27,0.0
2015/04/22,0.0,0.0,20,0.0
2015/04/22,3.7,31.6,0.0,17.87
2015/04/21,2.3,27.7,0.0,22.01
2015/04/21,0.0,0.0,23,0.0
2015/04/20,0.0,0.0,15,0.0
2015/04/20,2.3,16.4,0.0,12.09
2015/04/19,2.4,13.4,0.0,11.85
2015/04/19,0.0,0.0,15,0.0
2015/04/18,0.0,0.0,29,0.0
2015/04/18,3.1,20.8,0.0,14.78
2015/04/17,5.3,38.2,0.0,22.84
2015/04/17,0.0,0.0,40,0.0
2015/04/16,2.8,45,0.0,17.61
2015/04/16,0.0,0.0,35,0.0
2015/04/15,3.8,54,0.0,20.89
2015/04/15,0.0,0.0,38,0.0
2015/04/14,2.9,49.9,0.0,17.89
2015/04/14,0.0,0.0,23,0.0
2015/04/13,2.2,46,0.0,18.87
2015/04/13,0.0,0.0,25,0.0
2015/04/12,1.4,28.7,0.0,18.23
2015/04/12,0.0,0.0,13,0.0
2015/04/11,2.2,16.6,0.0,25.85
2015/04/11,0.0,0.0,14,0.0
2015/04/10,0.0,0.0,11,0.0
2015/04/10,2.3,14.2,0.0,23.01
2015/04/09,0.0,0.0,17,0.0
2015/04/09,2,31.4,0.0,19.81
2015/04/08,1.6,31.7,0.0,14.72
2015/04/08,0.0,0.0,7,0.0
2015/04/07,0.0,0.0,14,0.0
2015/04/07,1.6,28.4,0.0,14.58
2015/04/06,0.0,0.0,16,0.0
2015/04/06,2.6,24,0.0,13.9
2015/04/05,0.0,0.0,16,0.0
2015/04/05,2.6,19.6,0.0,10.76
2015/04/04,0.0,0.0,26,0.0
2015/04/04,2.3,28.1,0.0,11.44
2015/04/03,3.1,24.8,0.0,12.56
2015/04/03,0.0,0.0,17,0.0
2015/04/02,0.0,0.0,24,0.0
2015/04/02,2.9,22.7,0.0,12.25
2015/04/01,0.0,0.0,19,0.0
2015/04/01,3.6,23.5,0.0,13.85
2015/03/31,0.0,0.0,31,0.0
2015/03/31,3,30.2,0.0,14.23
2015/03/30,0.0,0.0,45,0.0
2015/03/30,3.7,34.7,0.0,23.7
2015/03/29,0.0,0.0,43,0.0
2015/03/29,3.9,40.1,0.0,24.69
2015/03/28,2.2,28.6,0.0,26.69
2015/03/28,0.0,0.0,20,0.0
2015/03/27,1.9,20.6,0.0,24.89
2015/03/27,0.0,0.0,21,0.0
2015/03/26,0.0,0.0,18,0.0
2015/03/26,1.7,22.1,0.0,22.75
2015/03/25,0.0,0.0,14,0.0
2015/03/25,2.3,12.5,0.0,26.12
2015/03/24,0.0,0.0,7,0.0
2015/03/24,1.8,38.2,0.0,15.99
2015/03/23,2.8,21.6,0.0,24.52
2015/03/23,0.0,0.0,40,0.0
2015/03/22,2.3,38.9,0.0,15.52
2015/03/22,0.0,0.0,35,0.0
2015/03/21,0.0,0.0,57,0.0
2015/03/21,2.7,23.8,0.0,23.88
2015/03/20,0.0,0.0,66,0.0
2015/03/20,2.7,17.7,0.0,28.53
2015/03/19,3.6,22.1,0.0,19.93
2015/03/19,0.0,0.0,29,0.0
2015/03/18,0.0,0.0,21,0.0
2015/03/18,3.3,35,0.0,11.29
2015/03/17,2.5,19.8,0.0,14.7
2015/03/17,0.0,0.0,32,0.0
2015/03/16,4.9,22.9,0.0,23.27
2015/03/16,0.0,0.0,50,0.0
2015/03/15,3.4,38.1,0.0,18.09
2015/03/15,0.0,0.0,45,0.0
2015/03/14,0.0,0.0,72,0.0
2015/03/14,4.6,35.2,0.0,28.66
2015/03/13,3.5,28.7,0.0,30.7
2015/03/13,0.0,0.0,43,0.0
2015/03/12,0.0,0.0,12,0.0
2015/03/12,1.9,13.2,0.0,26.16
2015/03/11,2.2,9.4,0.0,27.87
2015/03/11,0.0,0.0,16,0.0
