序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","總碳氫化合物 THC (ppm)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","風速 WIND_SPEED (m/sec)","小時風速值 WS_HR (m/sec)","溫度 AMB_TEMP (℃)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺中市,2017/06/14,大里,1.9,0.26,409.67,8.6,-,16,7.0,15.46,4.38,11.08,-,1.836,0.32,1.52,1.41,1.02,26.53,-,80.06,-
2,臺中市,2017/06/13,大里,1.7,0.24,416.44,15.4,-,34,8.0,13.59,4.4,9.2,-,1.642,0.14,1.5,2.52,2.14,29.94,-,69.28,-
3,臺中市,2017/06/12,大里,2.3,0.33,425.62,16.5,-,29,7.0,16.05,3.67,12.38,-,1.703,0.2,1.5,1.94,1.33,29.17,-,73.1,-
4,臺中市,2017/06/09,大里,2.6,0.31,434.58,21.7,-,36,15.0,16.2,2.73,13.48,-,-,-,-,1.95,1.7,30.5,-,67.35,-
5,臺中市,2017/06/05,大里,2.3,0.5,431.59,21.2,-,36,15.0,22.31,5.04,17.27,-,2.003,0.28,1.72,1.2,1.0,28.22,-,76.39,-
6,臺中市,2017/06/04,大里,1.7,0.28,408.21,23.0,-,10,7.0,12.29,3.33,8.96,-,1.694,0.09,1.61,1.28,0.88,26.74,-,79.57,-
7,臺中市,2017/06/03,大里,1.9,0.31,412.22,24.2,-,18,7.0,13.76,3.39,10.36,-,1.791,0.17,1.62,2.11,1.56,25.92,-,81.91,-
8,臺中市,2017/06/02,大里,1.9,0.16,400.77,18.9,-,27,8.0,8.53,2.48,6.04,-,1.541,0.05,1.49,4.32,4.25,27.6,-,80.09,-
9,臺中市,2017/06/01,大里,2.4,0.31,412.7,11.9,-,27,11.0,16.63,4.58,12.06,-,1.729,0.22,1.51,2.25,2.12,27.94,-,76.82,-
10,臺中市,2017/05/31,大里,1.4,0.33,420.89,20.8,-,25,8.0,15.93,3.47,12.46,-,1.704,0.16,1.55,1.94,1.7,28.59,-,73.8,-
11,臺中市,2017/05/30,大里,1.8,0.32,420.2,27.5,-,35,13.0,11.44,0.98,10.48,-,1.661,0.09,1.57,1.88,1.42,26.92,-,78.01,-
12,臺中市,2017/05/29,大里,3.7,0.52,436.14,41.5,-,60,23.0,23.19,3.98,19.21,-,1.891,0.18,1.71,1.96,1.6,29.21,-,69.38,-
13,臺中市,2017/05/28,大里,3.5,0.57,439.58,40.5,-,55,26.0,23.47,3.32,20.15,-,1.939,0.21,1.73,1.59,1.28,27.93,-,70.81,-
14,臺中市,2017/05/27,大里,3.3,0.64,442.91,29.1,-,60,24.0,30.87,5.61,25.26,-,2.14,0.37,1.77,1.36,1.04,26.81,-,73.4,-
15,臺中市,2017/05/26,大里,3.1,0.59,423.58,34.6,-,40,17.0,29.8,4.1,25.7,-,1.947,0.29,1.66,1.58,1.08,27.07,-,64.07,-
16,臺中市,2017/05/25,大里,2.8,0.47,421.53,30.7,-,31,15.0,21.55,4.18,17.38,-,1.807,0.18,1.63,1.93,0.86,27.03,-,71.9,-
17,臺中市,2017/05/24,大里,2.3,0.3,413.97,19.7,-,35,13.0,14.52,3.3,11.22,-,1.675,0.13,1.55,2.4,2.1,29.0,-,74.04,-
18,臺中市,2017/05/23,大里,2.8,0.31,422.93,28.8,-,49,19.0,14.65,2.11,12.54,-,1.758,0.15,1.61,2.08,1.89,29.3,-,70.09,-
19,臺中市,2017/05/22,大里,3.0,0.43,431.38,34.7,-,46,20.0,19.64,2.19,17.47,-,1.869,0.19,1.68,1.91,1.66,28.98,-,70.2,-
20,臺中市,2017/05/21,大里,2.0,0.44,429.46,34.0,-,40,14.0,17.38,2.03,15.44,-,1.835,0.15,1.69,1.73,1.02,28.0,-,70.38,-
21,臺中市,2017/05/20,大里,1.5,0.4,417.44,31.6,-,24,12.0,17.16,2.08,15.08,-,1.754,0.13,1.62,1.5,0.88,25.41,-,76.29,-
22,臺中市,2017/05/19,大里,2.0,0.55,436.68,26.1,-,52,18.0,25.51,3.0,22.51,-,1.991,0.3,1.69,1.61,0.95,26.55,-,73.97,-
23,臺中市,2017/05/18,大里,3.1,0.54,422.06,37.9,-,61,22.0,28.85,4.41,24.45,-,2.098,0.32,1.78,1.55,1.03,27.94,-,68.68,-
24,臺中市,2017/05/17,大里,2.4,0.45,403.87,41.1,-,33,12.0,20.42,1.33,19.07,-,1.829,0.2,1.63,1.64,0.85,26.02,-,69.14,-
25,臺中市,2017/05/16,大里,2.0,0.39,409.24,22.7,-,21,6.0,23.75,4.12,19.62,-,1.816,0.21,1.61,1.72,1.12,23.99,-,80.91,-
26,臺中市,2017/05/15,大里,3.7,0.37,415.86,34.7,-,39,16.0,18.81,2.87,15.94,-,1.698,0.11,1.58,2.01,1.31,28.55,-,69.21,-
27,臺中市,2017/05/14,大里,3.1,0.36,413.64,36.1,-,28,12.0,18.15,2.45,15.7,-,1.792,0.15,1.64,1.63,1.12,29.2,-,63.0,-
28,臺中市,2017/05/13,大里,2.1,0.34,403.39,17.6,-,37,15.0,16.42,3.46,12.96,-,1.716,0.15,1.57,1.6,1.46,28.65,-,70.16,-
29,臺中市,2017/05/12,大里,3.2,0.42,415.92,23.0,-,48,19.0,19.32,3.62,15.7,-,1.784,0.18,1.6,1.83,1.63,29.49,-,67.66,-
30,臺中市,2017/05/11,大里,4.4,0.57,426.86,31.5,-,62,20.0,23.95,3.35,20.59,-,1.914,0.27,1.64,1.76,1.27,29.56,-,65.07,-
31,臺中市,2017/05/10,大里,3.3,0.48,417.15,36.4,-,48,15.0,21.34,1.97,19.36,-,1.833,0.22,1.61,1.77,1.42,28.92,-,67.74,-
32,臺中市,2017/05/09,大里,2.7,0.34,402.58,22.8,-,44,12.0,16.04,2.83,13.21,-,1.712,0.18,1.54,2.15,1.91,28.78,-,69.01,-
33,臺中市,2017/05/08,大里,3.2,0.42,415.56,36.1,-,91,24.0,17.65,2.11,15.53,-,1.784,0.17,1.61,2.05,1.82,28.72,-,68.98,-
34,臺中市,2017/05/06,大里,2.8,0.48,417.57,32.9,-,50,19.0,19.13,2.18,16.96,-,1.849,0.17,1.68,1.75,1.05,28.08,-,68.31,-
35,臺中市,2017/05/05,大里,3.1,0.44,418.63,27.9,-,54,20.0,20.4,4.49,15.91,-,1.864,0.22,1.64,1.69,1.28,28.56,-,68.44,-
36,臺中市,2017/05/04,大里,2.6,0.42,417.13,26.9,-,55,19.0,17.61,2.97,14.65,-,1.822,0.18,1.64,1.81,1.66,28.39,-,68.85,-
37,臺中市,2017/05/03,大里,3.3,0.6,436.98,30.3,-,67,21.0,24.46,2.96,21.49,-,2.135,0.31,1.83,1.58,1.12,27.98,-,68.98,-
38,臺中市,2017/05/02,大里,3.2,0.69,452.6,15.5,-,60,22.0,32.51,5.48,27.03,-,2.184,0.39,1.8,1.34,0.92,26.78,-,67.97,-
39,臺中市,2017/05/01,大里,2.7,0.49,-,35.9,-,51,22.0,24.47,3.12,21.37,-,1.941,0.18,1.77,1.45,1.05,26.01,-,59.91,-
40,臺中市,2017/04/30,大里,3.7,0.5,-,44.4,-,59,21.0,24.09,0.83,23.34,-,1.897,0.16,1.74,1.52,1.22,24.54,-,58.84,-
41,臺中市,2017/04/29,大里,2.9,0.51,461.14,45.8,-,61,23.0,26.42,4.55,21.87,-,1.969,0.22,1.75,1.56,1.06,23.43,-,59.1,-
42,臺中市,2017/04/28,大里,2.3,0.4,-,49.8,-,35,10.0,19.44,1.44,18.0,-,1.821,0.16,1.67,2.04,0.99,21.56,-,60.46,-
43,臺中市,2017/04/27,大里,1.8,0.37,-,25.0,-,18,6.0,21.53,3.1,18.43,-,1.809,0.13,1.68,1.86,0.74,20.53,-,79.35,-
44,臺中市,2017/04/26,大里,3.3,0.62,-,20.4,-,85,-,26.04,5.08,20.96,-,2.103,0.34,1.77,1.52,0.99,26.69,-,73.24,-
45,臺中市,2017/04/25,大里,3.6,0.83,-,4.8,-,109,-,35.85,5.14,30.7,-,2.265,0.41,1.86,1.39,0.91,25.48,-,75.31,-
46,臺中市,2017/04/24,大里,2.8,0.7,-,40.3,-,78,-,24.91,1.98,22.93,-,2.24,0.47,1.77,1.29,0.87,24.08,-,73.29,-
47,臺中市,2017/04/23,大里,1.8,0.52,425.38,29.2,-,40,-,20.66,1.96,18.7,-,1.937,0.16,1.77,1.45,1.1,22.23,-,73.76,-
48,臺中市,2017/04/22,大里,1.6,0.4,415.55,31.3,-,15,9.0,19.13,1.38,17.74,-,1.819,0.14,1.68,1.96,0.93,20.77,-,75.83,-
49,臺中市,2017/04/21,大里,2.1,0.3,406.64,21.9,-,32,15.0,13.69,2.2,11.48,-,1.78,0.15,1.63,2.42,1.98,27.33,-,71.2,-
50,臺中市,2017/04/20,大里,3.3,0.35,416.13,20.1,-,49,26.0,17.68,3.05,14.63,-,1.819,0.19,1.63,1.89,1.54,27.65,-,71.52,-
51,臺中市,2017/04/19,大里,2.1,0.36,416.25,10.8,-,58,32.0,14.05,1.52,12.52,-,1.807,0.13,1.68,2.06,1.7,28.58,-,70.31,-
52,臺中市,2017/04/18,大里,2.5,0.32,409.93,19.8,-,49,24.0,16.51,3.25,13.26,-,1.759,0.14,1.62,2.42,2.3,27.51,-,72.71,-
53,臺中市,2017/04/17,大里,3.0,0.33,429.14,14.5,-,42,18.0,18.16,4.72,13.43,-,1.724,0.14,1.58,2.14,1.9,26.66,-,69.79,-
54,臺中市,2017/04/16,大里,4.7,0.53,437.03,20.3,-,60,31.0,20.94,3.89,17.05,-,1.786,0.14,1.65,1.63,1.22,25.88,-,70.38,-
55,臺中市,2017/04/15,大里,4.0,0.69,447.49,27.2,-,69,33.0,28.21,6.41,21.8,-,2.03,0.3,1.73,1.51,1.18,24.45,-,72.21,-
56,臺中市,2017/04/14,大里,4.2,0.91,453.21,27.198,-,72,32.0,45.92,9.98,35.94,-,2.278,0.49,1.79,1.38,1.0,22.81,-,74.08,-
57,臺中市,2017/04/13,大里,1.9,0.76,437.96,27.198,-,60,39.0,39.9,7.73,32.17,-,2.165,0.43,1.74,1.29,1.01,18.68,-,81.3,-
58,臺中市,2017/04/12,大里,2.708,0.54,425.98,22.8,-,28,14.0,24.69,3.2,21.49,-,1.828,0.19,1.64,1.91,0.88,19.75,-,78.69,-
59,臺中市,2017/04/11,大里,2.6,0.5,418.37,8.9,-,46,20.0,29.88,10.83,19.05,-,1.895,0.27,1.62,1.9,1.54,25.19,-,73.68,-
60,臺中市,2017/04/10,大里,2.4,0.26,405.04,16.0,-,33,13.0,13.65,3.96,9.69,-,1.613,0.08,1.53,3.32,3.05,27.42,-,62.05,-
61,臺中市,2017/04/09,大里,1.8,0.28,415.76,22.1,-,54,25.0,16.2,3.75,12.44,-,1.673,0.08,1.59,2.54,2.27,25.86,-,71.65,-
62,臺中市,2017/04/08,大里,2.4,0.37,421.88,27.9,-,57,24.0,17.5,3.77,13.74,-,1.814,0.16,1.65,1.73,1.48,25.13,-,70.6,-
63,臺中市,2017/04/07,大里,3.5,0.61,439.42,27.2,-,83,39.0,27.64,3.74,23.89,-,2.139,0.4,1.74,1.57,1.07,23.59,-,74.26,-
64,臺中市,2017/04/06,大里,4.8,0.58,450.53,34.6,-,81,40.0,27.03,2.4,24.66,-,1.987,0.29,1.7,1.52,1.25,23.0,-,67.04,-
65,臺中市,2017/04/05,大里,1.9,0.46,438.3,39.3,-,51,28.0,22.86,3.47,19.39,-,1.852,0.19,1.67,1.57,1.02,22.94,-,56.58,-
66,臺中市,2017/04/04,大里,2.9,0.41,438.2,46.7,-,63,31.0,17.02,1.68,15.36,-,1.729,0.1,1.63,1.77,1.64,21.06,-,56.65,-
67,臺中市,2017/04/03,大里,3.3,0.54,447.15,44.9,-,72,40.0,22.94,1.49,21.43,-,1.889,0.18,1.71,1.61,1.42,19.8,-,56.32,-
68,臺中市,2017/04/02,大里,2.1,0.48,438.0,42.0,-,61,37.0,21.24,1.63,19.65,-,1.86,0.16,1.7,1.81,1.11,18.7,-,50.06,-
69,臺中市,2017/04/01,大里,1.7,0.42,423.12,56.3,-,-,31.0,17.27,1.81,15.46,-,1.73,0.12,1.61,2.74,1.03,18.55,-,52.93,-
70,臺中市,2017/03/31,大里,2.4,0.42,432.03,33.0,-,64,28.0,20.29,3.82,16.47,-,1.833,0.19,1.64,2.45,1.54,21.57,-,69.57,-
71,臺中市,2017/03/30,大里,3.7,0.63,446.85,30.6,-,94,47.0,32.64,4.5,28.14,-,2.079,0.34,1.74,1.43,1.15,22.55,-,67.29,-
72,臺中市,2017/03/29,大里,2.6,0.53,435.47,39.3,-,83,35.0,23.61,3.59,20.01,-,1.938,0.27,1.67,1.75,1.08,21.88,-,59.17,-
73,臺中市,2017/03/28,大里,2.9,0.62,451.34,38.3,-,95,41.0,26.61,2.08,24.53,-,1.985,0.3,1.69,1.79,1.5,20.67,-,62.29,-
74,臺中市,2017/03/27,大里,2.9,0.7,456.09,28.9,-,72,26.0,34.79,7.5,27.29,-,2.094,0.33,1.77,1.34,0.83,19.87,-,63.17,-
75,臺中市,2017/03/26,大里,1.8,0.5,438.42,25.4,-,32,22.0,22.52,2.35,20.17,-,1.778,0.13,1.65,1.83,0.94,15.52,-,77.53,-
76,臺中市,2017/03/25,大里,1.0,0.42,430.78,34.2,-,33,15.0,18.37,1.5,16.88,-,1.691,0.12,1.57,2.73,1.07,19.73,-,72.99,-
77,臺中市,2017/03/24,大里,2.3,0.6,451.3,26.0,-,56,26.0,29.93,2.94,26.99,-,1.925,0.25,1.68,1.92,1.29,22.04,-,66.95,-
78,臺中市,2017/03/23,大里,2.0,0.43,461.85,35.2,-,35,18.0,22.57,1.71,20.9,-,1.838,0.19,1.65,2.11,1.23,21.45,-,65.96,-
79,臺中市,2017/03/22,大里,1.4,0.5,468.28,41.6,-,57,28.0,20.62,1.73,18.97,-,1.84,0.18,1.66,2.05,1.2,20.83,-,69.69,-
80,臺中市,2017/03/21,大里,1.9,0.54,467.44,26.8,-,56,25.0,24.67,4.2,20.47,-,2.009,0.24,1.77,1.95,1.02,22.64,-,67.55,-
81,臺中市,2017/03/20,大里,3.2,0.5,433.29,25.1,-,62,33.0,25.73,4.08,21.65,-,-,-,-,1.45,1.2,22.29,-,72.59,-
82,臺中市,2017/03/19,大里,2.2,0.55,-,14.4,-,68,36.0,26.76,3.4,23.36,-,-,-,-,1.54,0.91,21.27,-,73.63,-
83,臺中市,2017/03/18,大里,3.4,0.66,-,16.7,-,67,38.0,36.0,8.56,27.44,-,2.094,0.29,1.8,1.48,0.81,21.24,-,71.21,-
84,臺中市,2017/03/17,大里,2.5,0.54,470.79,20.1,-,46,24.0,30.41,3.8,26.62,-,1.972,0.26,1.71,1.46,0.84,19.26,-,74.03,-
85,臺中市,2017/03/16,大里,2.1,0.58,471.5,11.6,-,42,18.0,37.13,6.4,30.73,-,2.031,0.31,1.72,1.79,0.97,17.58,-,76.59,-
86,臺中市,2017/03/15,大里,2.3,0.49,457.74,28.0,-,44,18.0,26.82,2.5,24.36,-,1.9,0.22,1.68,1.62,0.87,17.55,-,66.7,-
87,臺中市,2017/03/14,大里,2.1,0.37,451.18,32.9,-,23,13.0,18.45,2.17,16.28,-,1.756,0.12,1.64,2.72,0.83,16.67,-,70.95,-
88,臺中市,2017/03/13,大里,2.3,0.5,438.62,37.3,-,100,47.0,19.93,2.31,17.62,-,1.942,0.18,1.76,1.8,1.34,22.92,-,70.23,-
89,臺中市,2017/03/12,大里,1.9,0.5,438.11,40.3,-,96,49.0,17.48,1.79,15.69,-,1.873,0.12,1.75,1.69,1.35,21.34,-,75.03,-
90,臺中市,2017/03/11,大里,1.5,0.46,433.64,39.9,-,49,27.0,20.7,2.32,18.38,-,1.879,0.15,1.74,1.73,0.89,20.51,-,73.49,-
91,臺中市,2017/03/10,大里,3.3,0.78,453.99,28.4,-,87,48.0,33.15,7.43,25.72,-,2.207,0.39,1.82,1.55,1.07,19.7,-,76.48,-
92,臺中市,2017/03/09,大里,3.6,0.89,454.48,12.0,-,74,39.0,46.49,10.21,36.29,-,2.347,0.5,1.85,1.18,0.96,17.87,-,74.55,-
93,臺中市,2017/03/08,大里,2.4,0.64,440.05,14.3,-,36,23.0,36.86,5.43,31.43,-,2.087,0.31,1.78,1.25,0.76,14.98,-,79.27,-
94,臺中市,2017/03/07,大里,2.0,0.56,435.62,24.6,-,52,30.0,28.57,3.09,25.5,-,1.953,0.23,1.73,1.82,0.96,15.84,-,70.03,-
95,臺中市,2017/03/06,大里,2.1,0.38,426.38,32.4,-,35,15.0,19.2,3.29,15.91,-,1.819,0.12,1.7,2.41,0.97,18.89,-,71.08,-
96,臺中市,2017/03/05,大里,2.7,0.5,438.65,40.7,-,70,42.0,17.7,1.59,16.12,-,1.961,0.19,1.77,1.57,1.4,21.44,-,66.21,-
97,臺中市,2017/03/04,大里,3.3,0.64,443.36,27.6,-,75,38.0,35.73,4.27,31.45,-,2.062,0.28,1.79,1.4,1.04,20.21,-,63.27,-
98,臺中市,2017/03/03,大里,3.4,0.55,440.45,25.5,-,86,38.0,44.29,8.33,35.97,-,2.155,0.35,1.81,1.37,0.92,17.21,-,61.47,-
99,臺中市,2017/03/02,大里,3.3,0.45,432.19,33.7,-,80,36.0,25.2,1.63,23.65,-,1.978,0.22,1.76,2.19,0.89,17.6,-,56.5,-
100,臺中市,2017/03/01,大里,2.0,0.57,431.99,26.8,-,49,25.0,28.41,3.32,25.1,-,1.937,0.25,1.69,1.63,0.93,18.46,-,63.86,-
101,臺中市,2017/02/28,大里,3.1,0.58,438.21,24.9,-,60,35.0,29.41,3.52,25.9,-,1.971,0.2,1.77,1.54,0.91,17.53,-,68.85,-
102,臺中市,2017/02/27,大里,0.5,0.47,430.47,25.7,-,47,26.0,22.92,2.15,20.76,-,1.869,0.15,1.72,1.45,0.74,15.97,-,68.09,-
103,臺中市,2017/02/26,大里,1.4,0.3,422.43,33.9,-,17,9.0,14.05,0.92,13.12,-,1.733,0.07,1.67,2.61,0.98,14.64,-,74.31,-
104,臺中市,2017/02/25,大里,1.0,0.39,429.08,18.9,-,18,10.0,22.63,2.18,20.45,-,1.836,0.14,1.7,2.03,0.95,14.43,-,79.77,-
105,臺中市,2017/02/24,大里,1.9,0.46,433.62,16.8,-,14,8.0,23.66,2.7,20.95,-,1.846,0.15,1.7,2.52,1.05,14.23,-,75.35,-
106,臺中市,2017/02/23,大里,2.9,0.74,448.42,11.7,-,48,25.0,39.84,15.87,23.96,-,2.222,0.41,1.81,2.27,0.78,19.26,-,75.15,-
107,臺中市,2017/02/22,大里,2.8,0.73,436.85,16.7,-,55,27.0,38.83,14.95,23.92,-,2.269,0.52,1.75,1.53,0.95,20.06,-,80.63,-
108,臺中市,2017/02/21,大里,2.6,0.51,427.91,33.3,-,65,27.0,23.25,1.24,22.05,-,1.912,0.19,1.72,1.73,0.93,21.23,-,68.63,-
109,臺中市,2017/02/20,大里,3.5,0.71,442.01,32.4,-,72,37.0,29.78,3.17,26.6,-,2.113,0.36,1.76,1.26,0.76,21.56,-,67.05,-
110,臺中市,2017/02/19,大里,1.7,0.61,441.33,31.1,-,106,52.0,25.01,3.12,21.88,-,1.962,0.21,1.75,1.63,1.35,18.77,-,73.19,-
111,臺中市,2017/02/18,大里,3.9,0.61,435.31,27.5,-,93,45.0,31.37,6.47,24.9,-,2.036,0.28,1.76,1.66,0.95,19.07,-,70.43,-
112,臺中市,2017/02/17,大里,3.2,0.6,437.99,29.2,-,53,26.0,31.24,4.16,27.06,-,2.092,0.35,1.74,1.37,0.91,19.71,-,59.47,-
113,臺中市,2017/02/16,大里,5.0,0.65,445.1,23.5,-,97,44.0,37.81,6.32,31.49,-,2.212,0.44,1.77,1.37,1.11,18.41,-,63.28,-
114,臺中市,2017/02/15,大里,4.5,0.61,438.95,29.0,-,83,40.0,32.99,5.63,27.36,-,2.087,0.31,1.78,1.66,1.15,17.34,-,66.46,-
115,臺中市,2017/02/14,大里,3.2,0.67,439.45,25.9,-,66,32.0,36.82,7.41,29.41,-,2.201,0.32,1.88,1.56,1.01,17.8,-,61.3,-
116,臺中市,2017/02/13,大里,3.1,0.64,436.36,18.8,-,53,24.0,33.66,7.34,26.33,-,2.057,0.28,1.78,1.45,0.78,17.31,-,61.34,-
117,臺中市,2017/02/12,大里,2.1,0.42,426.23,30.0,-,49,23.0,21.0,2.04,18.95,-,1.823,0.13,1.69,1.5,0.78,15.55,-,56.99,-
118,臺中市,2017/02/11,大里,3.1,0.41,423.74,37.4,-,54,26.0,16.63,2.41,14.22,-,1.774,0.1,1.67,2.11,0.92,14.08,-,52.64,-
119,臺中市,2017/02/10,大里,3.4,0.51,426.63,38.4,-,70,41.0,16.78,1.82,14.96,-,1.819,0.11,1.71,2.71,1.16,13.48,-,52.76,-
120,臺中市,2017/02/09,大里,1.9,0.39,425.03,29.1,-,28,12.0,12.96,1.43,11.57,-,1.816,0.11,1.71,3.49,1.29,13.9,-,63.85,-
121,臺中市,2017/02/08,大里,2.2,0.48,430.94,22.9,-,79,-,30.86,5.33,25.52,-,2.045,0.26,1.79,1.93,1.13,18.22,-,69.71,-
122,臺中市,2017/02/07,大里,2.8,0.59,432.58,27.9,-,80,37.0,32.67,5.23,27.44,-,2.082,0.27,1.82,1.38,0.93,18.62,-,62.22,-
123,臺中市,2017/02/06,大里,1.4,0.56,434.72,30.4,-,57,36.0,22.05,3.52,18.53,-,2.03,0.15,1.88,1.88,0.72,19.25,-,64.01,-
124,臺中市,2017/02/05,大里,1.4,0.58,440.97,15.7,-,74,35.0,29.3,5.34,23.96,-,2.074,0.19,1.88,1.56,0.81,19.09,-,73.97,-
125,臺中市,2017/02/04,大里,2.7,0.5,428.54,19.9,-,73,26.0,28.48,4.08,24.4,-,1.969,0.19,1.78,1.27,0.97,18.9,-,74.87,-
126,臺中市,2017/02/03,大里,1.3,0.5,429.74,25.0,-,55,23.0,25.66,5.31,20.34,-,1.964,0.2,1.77,1.66,0.96,18.32,-,69.69,-
127,臺中市,2017/02/02,大里,0.9,0.41,421.11,30.2,-,22,14.0,16.07,1.46,14.61,-,1.845,0.11,1.74,2.2,0.95,17.58,-,64.92,-
128,臺中市,2017/02/01,大里,1.7,0.29,417.48,27.1,-,15,6.0,12.73,1.77,10.97,-,1.78,0.06,1.72,2.48,0.84,18.63,-,67.73,-
129,臺中市,2017/01/31,大里,2.5,0.35,421.72,28.2,-,21,9.0,16.28,2.2,14.09,-,1.837,0.08,1.75,1.83,0.86,18.26,-,67.08,-
130,臺中市,2017/01/30,大里,1.7,0.44,432.01,25.5,-,37,19.0,16.28,2.52,13.76,-,1.862,0.1,1.76,2.03,0.87,19.96,-,67.4,-
131,臺中市,2017/01/29,大里,2.5,0.4,433.3,27.0,-,46,26.0,20.37,5.25,15.12,-,1.904,0.13,1.77,1.53,0.96,20.16,-,67.85,-
132,臺中市,2017/01/28,大里,1.5,0.44,430.17,27.0,-,51,31.0,20.62,3.98,16.64,-,1.964,0.17,1.8,1.32,0.82,18.7,-,66.09,-
133,臺中市,2017/01/27,大里,2.6,0.62,437.76,23.7,-,66,35.0,27.06,6.42,20.64,-,2.074,0.26,1.81,1.77,0.94,17.37,-,68.95,-
134,臺中市,2017/01/26,大里,1.3,0.52,423.14,32.2,-,37,17.0,22.57,3.45,19.15,-,1.933,0.19,1.74,1.87,1.09,17.29,-,62.33,-
135,臺中市,2017/01/25,大里,-,-,-,-,-,-,16.0,-,-,-,-,-,-,-,2.74,-,-,-,-,-
136,臺中市,2017/01/24,大里,2.7,0.51,429.43,19.9,-,46,26.0,31.05,5.11,25.94,-,2.011,0.23,1.78,1.73,0.83,17.04,-,64.26,-
137,臺中市,2017/01/23,大里,2.6,0.59,432.29,23.0,-,61,29.0,28.82,3.46,25.39,-,2.017,0.24,1.78,1.56,0.89,16.69,-,59.62,-
138,臺中市,2017/01/22,大里,2.5,0.44,424.91,30.2,-,38,19.0,19.51,2.67,16.85,-,1.883,0.14,1.75,2.23,0.97,16.4,-,59.0,-
139,臺中市,2017/01/21,大里,2.5,0.44,422.88,28.0,-,45,20.0,19.57,1.9,17.65,-,1.856,0.12,1.73,2.11,0.72,15.56,-,62.7,-
140,臺中市,2017/01/20,大里,1.8,0.5,429.19,26.0,-,29,14.0,18.21,2.52,15.67,-,1.91,0.14,1.77,2.91,0.73,16.86,-,67.43,-
141,臺中市,2017/01/19,大里,2.4,0.55,437.08,18.0,-,51,24.0,30.85,7.73,23.12,-,2.129,0.32,1.81,1.71,0.86,19.96,-,72.86,-
142,臺中市,2017/01/18,大里,1.9,0.54,428.33,21.7,-,49,19.0,29.0,6.94,22.06,-,1.995,0.26,1.74,1.6,0.77,19.15,-,76.32,-
143,臺中市,2017/01/17,大里,3.0,0.62,437.67,18.6,-,52,20.0,40.32,15.73,24.59,-,2.188,0.38,1.81,1.53,0.92,17.96,-,73.74,-
144,臺中市,2017/01/16,大里,2.8,0.51,425.31,14.3,-,18,8.0,31.07,9.41,21.66,-,2.017,0.25,1.77,1.46,0.88,16.49,-,72.39,-
145,臺中市,2017/01/15,大里,2.4,0.39,422.51,19.6,-,17,10.0,18.85,2.62,16.22,-,1.842,0.1,1.74,1.8,0.88,16.0,-,73.24,-
146,臺中市,2017/01/14,大里,1.7,0.57,430.04,23.9,-,17,11.0,21.35,3.69,17.65,-,1.922,0.13,1.8,1.94,0.79,15.68,-,76.69,-
147,臺中市,2017/01/13,大里,2.6,0.59,436.23,12.3,-,35,15.0,27.71,4.56,23.15,-,2.01,0.21,1.81,2.07,0.84,18.17,-,74.24,-
148,臺中市,2017/01/12,大里,2.3,0.64,440.74,18.2,-,68,32.0,31.74,8.38,23.36,-,2.112,0.29,1.82,1.85,0.99,19.59,-,75.82,-
149,臺中市,2017/01/11,大里,3.6,0.79,447.9,22.3,-,88,44.0,40.59,11.4,29.19,-,2.228,0.36,1.86,1.4,0.98,19.27,-,69.59,-
150,臺中市,2017/01/10,大里,2.9,0.73,442.92,20.4,-,56,31.0,32.38,7.0,25.38,-,2.088,0.26,1.83,1.41,0.74,19.5,-,65.47,-
151,臺中市,2017/01/09,大里,2.3,0.71,448.09,20.1,-,38,20.0,27.95,6.91,21.05,-,2.043,0.22,1.82,1.77,0.92,21.15,-,67.61,-
152,臺中市,2017/01/08,大里,2.1,0.63,454.31,18.1,-,54,26.0,28.85,8.05,20.8,-,2.074,0.24,1.84,1.39,0.81,22.74,-,70.98,-
153,臺中市,2017/01/07,大里,4.1,0.68,444.2,17.7,-,109,52.0,34.68,7.79,26.9,-,2.084,0.3,1.78,1.45,1.15,22.48,-,76.05,-
154,臺中市,2017/01/06,大里,3.4,0.65,450.84,21.3,-,92,50.0,33.56,9.82,23.74,-,2.178,0.36,1.82,1.49,1.11,21.54,-,77.35,-
155,臺中市,2017/01/05,大里,3.3,0.72,457.88,16.2,-,109,55.0,39.34,11.93,27.4,-,2.199,0.42,1.78,1.54,1.27,21.61,-,77.86,-
156,臺中市,2017/01/04,大里,2.5,0.71,453.33,18.7,-,64,34.0,39.82,13.46,26.35,-,2.233,0.41,1.83,1.23,1.1,21.82,-,76.83,-
157,臺中市,2017/01/03,大里,2.5,0.76,465.07,20.5,-,73,37.0,41.78,16.44,25.34,-,2.21,0.37,1.84,1.26,0.8,21.82,-,75.19,-
